case_id,gold_theme_name,primary_theme_name,related_theme_names,status
pm_case_0001,AI/AR眼镜,AR眼镜,AR眼镜四大品牌,exact_or_alias_primary
pm_case_0002,AI/AR眼镜,AR眼镜,AR眼镜四大品牌,exact_or_alias_primary
pm_case_0003,AI/AR眼镜,,,human_review
pm_case_0004,AI/AR眼镜,AR眼镜,,exact_or_alias_primary
pm_case_0005,AI/AR眼镜,AR眼镜,AR眼镜四大品牌,exact_or_alias_primary
pm_case_0006,AI/AR眼镜,Micro LED CPO,,unknown
pm_case_0007,AI/AR眼镜,AR眼镜,,exact_or_alias_primary
pm_case_0008,AI/AR眼镜,金融IT,,unknown
pm_case_0009,AI/AR眼镜,AR眼镜,,exact_or_alias_primary
pm_case_0010,AI/AR眼镜,,,human_review
pm_case_0011,AI/AR眼镜,AR眼镜,AR眼镜四大品牌,exact_or_alias_primary
pm_case_0012,AI/AR眼镜,AR眼镜,,exact_or_alias_primary
pm_case_0013,AI/AR眼镜,AR眼镜,AR眼镜四大品牌|碳化硅,exact_or_alias_primary
pm_case_0014,AI/AR眼镜,AR眼镜四大品牌,AR眼镜,exact_or_alias_primary
pm_case_0015,AI/AR眼镜,AR眼镜,AR眼镜四大品牌,exact_or_alias_primary
pm_case_0016,AI/AR眼镜,AR眼镜,AR眼镜四大品牌,exact_or_alias_primary
pm_case_0017,AI/AR眼镜,,,human_review
pm_case_0018,AI/AR眼镜,AR眼镜,,exact_or_alias_primary
pm_case_0019,AI/AR眼镜,AR眼镜,高通|AR眼镜四大品牌,exact_or_alias_primary
pm_case_0020,AI/AR眼镜,,,unknown
