case_id,gold_theme_name,primary_theme_name,related_theme_names,status
pm_case_0001,AI/AR眼镜,AR眼镜,AR眼镜四大品牌,exact_or_alias_primary
pm_case_0002,AI/AR眼镜,AR眼镜,AR眼镜四大品牌,exact_or_alias_primary
pm_case_0003,AI/AR眼镜,,,human_review
pm_case_0004,AI/AR眼镜,AR眼镜,,exact_or_alias_primary
pm_case_0005,AI/AR眼镜,AR眼镜,AR眼镜四大品牌,exact_or_alias_primary
pm_case_0006,AI/AR眼镜,,,human_review
pm_case_0007,AI/AR眼镜,AR眼镜,,exact_or_alias_primary
pm_case_0008,AI/AR眼镜,,,human_review
pm_case_0009,AI/AR眼镜,AR眼镜,,exact_or_alias_primary
pm_case_0010,AI/AR眼镜,著名IP,,unknown
pm_case_0011,AI/AR眼镜,AR眼镜,AR眼镜四大品牌,exact_or_alias_primary
pm_case_0012,AI/AR眼镜,AR眼镜,,exact_or_alias_primary
pm_case_0013,AI/AR眼镜,AR眼镜,AR眼镜四大品牌,exact_or_alias_primary
pm_case_0014,AI/AR眼镜,AR眼镜四大品牌,AR眼镜,exact_or_alias_primary
pm_case_0015,AI/AR眼镜,AR眼镜,AR眼镜四大品牌,exact_or_alias_primary
pm_case_0016,AI/AR眼镜,AR眼镜,AR眼镜四大品牌,exact_or_alias_primary
pm_case_0017,AI/AR眼镜,,,human_review
pm_case_0018,AI/AR眼镜,AR眼镜,,exact_or_alias_primary
pm_case_0019,AI/AR眼镜,AR眼镜,AR眼镜四大品牌,exact_or_alias_primary
pm_case_0020,AI/AR眼镜,AR眼镜,,exact_or_alias_primary
pm_case_0021,AI/AR眼镜,显示面板,,unknown
pm_case_0022,AI/AR眼镜,AR眼镜,AR眼镜四大品牌,exact_or_alias_primary
pm_case_0023,AI/AR眼镜,,,human_review
pm_case_0024,AI/AR眼镜,,,human_review
pm_case_0025,AI/AR眼镜,AR眼镜,游戏,exact_or_alias_primary
pm_case_0026,AI/AR眼镜,,,human_review
pm_case_0027,AI/AR眼镜,AR眼镜,AR眼镜四大品牌,exact_or_alias_primary
pm_case_0028,AI/AR眼镜,AR眼镜,AR眼镜四大品牌,exact_or_alias_primary
pm_case_0029,AI/AR眼镜,苹果MR,,unknown
pm_case_0030,AI/AR眼镜,,,unknown
pm_case_0031,AI/AR眼镜,AR眼镜,AR眼镜四大品牌,exact_or_alias_primary
pm_case_0032,AI/AR眼镜,,,human_review
pm_case_0033,AI/AR眼镜,,,human_review
pm_case_0034,AI/AR眼镜,AR眼镜,,exact_or_alias_primary
pm_case_0035,AI/AR眼镜,AR眼镜,AR眼镜四大品牌,exact_or_alias_primary
pm_case_0036,SpaceX,9060949,SpaceX,alias_related
pm_case_0037,SpaceX,导弹,,unknown
pm_case_0038,SpaceX,SpaceX,,exact_or_alias_primary
pm_case_0039,SpaceX,SpaceX,,exact_or_alias_primary
pm_case_0040,SpaceX,9060949,SpaceX|马斯克四大产业,alias_related
pm_case_0041,可控核聚变,,,human_review
pm_case_0042,可控核聚变,可控核聚变,,exact_or_alias_primary
pm_case_0043,可控核聚变,可控核聚变,,exact_or_alias_primary
pm_case_0044,可控核聚变,A股全球第一,,unknown
pm_case_0045,可控核聚变,,,human_review
pm_case_0046,可控核聚变,核电,可控核聚变,alias_related
pm_case_0047,可控核聚变,乌克兰重建,,unknown
pm_case_0048,可控核聚变,可控核聚变,,exact_or_alias_primary
pm_case_0049,可控核聚变,,,human_review
pm_case_0050,可控核聚变,,,human_review
pm_case_0051,对日制裁,对日制裁,出口管制,exact_or_alias_primary
pm_case_0052,对日制裁,对日制裁,,exact_or_alias_primary
pm_case_0053,对日制裁,对日制裁,,exact_or_alias_primary
pm_case_0054,对日制裁,对日制裁,,exact_or_alias_primary
pm_case_0055,对日制裁,,,unknown
pm_case_0056,对日制裁,对日制裁,,exact_or_alias_primary
pm_case_0057,稀土永磁,稀土永磁,,exact_or_alias_primary
pm_case_0058,稀土永磁,出口管制,,exact_or_alias_primary
pm_case_0059,稀土永磁,稀土永磁,,exact_or_alias_primary
pm_case_0060,稀土永磁,稀土永磁,,exact_or_alias_primary
pm_case_0061,稀土永磁,中美芬太尼合作,芬太尼,unknown
pm_case_0062,稀土永磁,稀土永磁,,exact_or_alias_primary
pm_case_0063,稀土永磁,稀土永磁,,exact_or_alias_primary
pm_case_0064,稀土永磁,深海经济,出口管制,alias_related
pm_case_0065,海洋经济,深海经济,,unknown
pm_case_0066,海洋经济,深海经济,,unknown
pm_case_0067,海洋经济,工业智能体,港口,unknown
pm_case_0068,海洋经济,深海经济,,unknown
pm_case_0069,海洋经济,深海经济,,unknown
pm_case_0070,光刻胶,光刻胶,,exact_or_alias_primary
pm_case_0071,光刻胶,光刻胶,,exact_or_alias_primary
pm_case_0072,光刻胶,光刻胶,,exact_or_alias_primary
pm_case_0073,光刻胶,光刻胶,,exact_or_alias_primary
pm_case_0074,光刻胶,光刻胶,,exact_or_alias_primary
pm_case_0075,光刻胶,PCB印制电路板,,unknown
pm_case_0076,光刻胶,光刻胶,半导体,exact_or_alias_primary
pm_case_0077,光刻胶,半导体设备,光刻胶|半导体,alias_related
pm_case_0078,卫星互联,,,human_review
pm_case_0079,卫星互联,卫星互联网,9060949|航天发射场|SpaceX|广州商业航天|商业航天8大IPO,exact_or_alias_primary
pm_case_0080,卫星互联,,,human_review
pm_case_0081,卫星互联,蓝箭航天IPO,,unknown
pm_case_0082,卫星互联,,,human_review
pm_case_0083,卫星互联,蓝箭航天IPO,商业航天8大IPO|广州商业航天,unknown
pm_case_0084,卫星互联,SpaceX,,unknown
pm_case_0085,卫星互联,太空旅游,,unknown
pm_case_0086,卫星互联,卫星互联网,,exact_or_alias_primary
pm_case_0087,卫星互联,蓝箭航天IPO,,unknown
pm_case_0088,液冷数据中心,人工智能硬件,,unknown
pm_case_0089,液冷数据中心,液冷数据中心,,exact_or_alias_primary
pm_case_0090,液冷数据中心,液冷数据中心,,exact_or_alias_primary
pm_case_0091,液冷数据中心,液冷数据中心,数据中心,exact_or_alias_primary
pm_case_0092,液冷数据中心,液冷数据中心,,exact_or_alias_primary
pm_case_0093,液冷数据中心,中科院,液冷数据中心,alias_related
pm_case_0094,液冷数据中心,液冷数据中心,,exact_or_alias_primary
pm_case_0095,液冷数据中心,,,human_review
pm_case_0096,AI智能体Manus,AI智能体Manus,AI智能体,exact_or_alias_primary
pm_case_0097,AI智能体Manus,AI智能体,AI智能体Manus,exact_or_alias_primary
pm_case_0098,AI智能体Manus,AI智能体Manus,AI智能体,exact_or_alias_primary
pm_case_0099,AI智能体Manus,AI智能体,AI智能体Manus,exact_or_alias_primary
pm_case_0100,AI智能体Manus,AI智能体Manus,AI智能体,exact_or_alias_primary
