code,name,flag,pct_chg,amount,volume,market_cap,turnover,amount_ratio,subjects_count,count
603773,沃格光电,-1,8.36,468512925,133396.69,8011860966.45,0,5.847741579165157,18,15
000586,汇源通信,4,10.02,86862826.84,38031.01,4418169600,0,1.9660364971050455,21,19
600545,卓郎智能,-1,7.88,681543150,1728325.18,7098011521.34,-0.25,9.601888471876341,32,17
000636,风华高科,-1,6.9,2028896124.65,1023888.22,22943571974.129997,-0.1,8.842982805544315,17,19
600482,中国动力,-1,7.86,2012641189,583923.77,79388622880,-0.17,2.535175842566524,16,21
002873,新天药业,-1,-4.87,871149571.08,724458.44,2763255083.92,0.44,31.526208931973542,12,5
003018,金富科技,-1,8.34,535730044.34,174233.4,8036600000,-0.03,6.666128018565065,28,5
603158,腾龙股份,-1,8.47,822394219,674407.36,6036472820.400001,0,13.623754193355333,31,11
000929,ST兰黄,-1,3.8,45167384.94,48454.54,1725766139.9999998,0.32,2.617236709720125,2,3
002731,ST萃华,-1,3.93,246757289.67,332219.09,1895554400,-0.27,13.0176844130667,13,5
002692,远程股份,-1,7.33,426779756.56,696250.64,4416597900,0.16,9.663088336839538,8,3
603189,网达软件,-1,5.73,453969421,253395.86,4876129633.41,0.06,9.310035932792209,12,11
000691,ST亚太,-1,4.48,56695794.44,71808.02,3845296650,0.13,1.4744192607350592,5,5
000975,山金国际,-1,8.62,2271060871.04,712445.53,88521905808.2,0.06,2.5655354460631443,6,7
603738,泰晶科技,-1,8.04,1640944872,634382.36,10106393415.48,0.11,16.236700913369933,11,7
002058,ST威尔,-1,3.83,40134498.74,18200.17,3187421937.04,-0.04,1.2591523661680923,12,5
300986,志特新材,-1,14,2306554549.41,838054.67,11506433121.75,0,20.045782433220268,17,3
600654,中安科,3,10,1096759667,2624607.68,12661413102.800001,0,8.662221650105213,14,7
300686,智动力,-1,18.01,759200958.56,444402.34,4628686147.200001,0.51,16.402083321619422,6,9
000720,新能泰山,-1,2.6,2966374933.2,4368995.94,8418761525.7,0.9,35.23528875529412,33,9
600512,腾达建设,-1,7.56,316305343,1250407.52,4080156106.2400002,0,7.752285323501653,1,1
600488,津药药业,-1,-4.04,2192139149,2814398.29,8036285964.8,0,27.278013233997157,16,1
