code,name,flag,pct_chg,amount,volume,market_cap,turnover,amount_ratio,subjects_count,file
002047,ST宝鹰,-1,5.06,263632523.35,457607.53,8809404906.33,0.35,2.9926257920165162,8,9040800_2026-04-20_stocks.jsonl
002837,英维克,-1,9.41,10129168977.42,847986.84,118241384376.36,0.02,8.5665175782948,48,9054118_2026-04-20_stocks.jsonl
002058,ST威尔,-1,4.98,89229897.75,39239.75,3295008186.04,0,2.7080326576438067,12,9034539_2026-04-20_stocks.jsonl
002432,九安医疗,-1,6.54,3366467379.34,421597.48,37328256421.2,0.46,9.018549758536452,18,9040419_2026-04-20_stocks.jsonl
600367,红星发展,-1,4.73,1390406812,615754.17,7631098277.740001,-0.22,18.220271334413717,27,9035101_2026-04-20_stocks.jsonl
002475,立讯精密,-1,10.01,25188235806.75,3929268.63,478907785110.72003,0,5.259516881924703,38,9063236_2026-04-20_stocks.jsonl
002837,英维克,-1,9.41,10129168977.42,847986.84,118241384376.36,0.02,8.5665175782948,48,9063236_2026-04-20_stocks.jsonl
000977,浪潮信息,-1,7.17,10962102359.42,1486776.09,107375013013.6,0,10.209174417544938,34,9063236_2026-04-20_stocks.jsonl
000977,浪潮信息,-1,7.17,10962102359.42,1486776.09,107375013013.6,0,10.209174417544938,34,9043458_2026-04-20_stocks.jsonl
002528,ST英飞拓,-1,2.42,421356482.48,760070.86,6604699701.82,-0.9,6.379646335228389,9,9043458_2026-04-20_stocks.jsonl
688227,品高股份,-1,15.09,2762722663,237039.65,13189028381.5,0.14,20.94712804527147,20,9063053_2026-04-20_stocks.jsonl
002475,立讯精密,-1,10.01,25188235806.75,3929268.63,478907785110.72003,0,5.259516881924703,37,9022942_2026-04-20_stocks.jsonl
002273,水晶光电,-1,7.37,3984240885.68,1285025.17,43359912650.78,0.26,9.188765940948748,24,9022942_2026-04-20_stocks.jsonl
002962,五方光电,-1,4.21,883949020.38,482647.29,5273309564.16,-0.06,16.762699204836206,16,9022942_2026-04-20_stocks.jsonl
000949,新乡化纤,-1,9.99,995968875.31,1279008.66,13321475372.88,0,7.476415692946473,10,9010467_2026-04-20_stocks.jsonl
003041,真爱美家,-1,6.21,590584250.18,95078.71,8837280000,-0.13,6.682873578521898,24,9010467_2026-04-20_stocks.jsonl
002837,英维克,-1,9.41,10129168977.42,847986.84,118241384376.36,0.02,8.5665175782948,48,9019314_2026-04-20_stocks.jsonl
688227,品高股份,-1,15.09,2762722663,237039.65,13189028381.5,0.14,20.94712804527147,19,9014648_2026-04-20_stocks.jsonl
