case_id,tags,positive_subject_keys,must_not_subject_keys,must_not_theme_names,comparison,v1_decision,v1_subject_key,v1_theme_name,v1_related_count,v1_wrong_subject_keys,v1_wrong_theme_names,v1_wrong_related_count,v1_generic_only_related_count,v1_rejected,v2_decision,v2_subject_key,v2_theme_name,v2_related_count,v2_wrong_subject_keys,v2_wrong_theme_names,v2_wrong_related_count,v2_generic_only_related_count,v2_rejected
hn_lanjian_shein_001,"[""blue_arrow"", ""commercial_space"", ""generic_supply_chain""]","[""9062142"", ""9061851""]","[""9046625"", ""9062904""]","[""SHEIN/希音IPO"", ""航空发动机集团""]",unchanged,MATCH,9062142,蓝箭航天IPO,0,[],[],0,0,True,MATCH,9062142,蓝箭航天IPO,0,[],[],0,0,True
hn_lanjian_engine_002,"[""blue_arrow"", ""rocket"", ""generic_supplier""]","[""9062142"", ""9061851""]","[""9062904"", ""9046625""]","[""航空发动机集团"", ""SHEIN/希音IPO""]",unchanged,MATCH,9020631,小米手机,0,[],[],0,0,True,MATCH,9020631,小米手机,0,[],[],0,0,True
hn_spacex_shein_003,"[""spacex"", ""satellite"", ""generic_supply_chain""]","[""9064166"", ""9019807"", ""9061851""]","[""9046625"", ""9062904""]","[""SHEIN/希音IPO"", ""航空发动机集团""]",unchanged,MATCH,9064166,SpaceX,0,[],[],0,0,True,MATCH,9064166,SpaceX,0,[],[],0,0,True
hn_commercial_space_004,"[""commercial_space"", ""rocket"", ""generic_partner""]","[""9061851"", ""9062142""]","[""9046625"", ""9062904""]","[""SHEIN/希音IPO"", ""航空发动机集团""]",unchanged,HUMAN_REVIEW,9059490,太空算力,0,[],[],0,0,True,HUMAN_REVIEW,9059490,太空算力,0,[],[],0,0,True
hn_shein_supply_chain_005,"[""shein"", ""ipo"", ""cross_border""]","[""9046625""]","[""9062142"", ""9061851"", ""9062904""]","[""蓝箭航天IPO"", ""商业航天8大IPO"", ""航空发动机集团""]",unchanged,MATCH,9020414,电商,0,[],[],0,0,True,MATCH,9046625,SHEIN/希音IPO,0,[],[],0,0,True
hn_crossborder_generic_006,"[""cross_border"", ""logistics"", ""generic_packaging""]","[""9047274"", ""9020414""]","[""9046625"", ""9062142"", ""9062904""]","[""SHEIN/希音IPO"", ""蓝箭航天IPO"", ""航空发动机集团""]",unchanged,MATCH,9020414,电商,0,[],[],0,0,True,HUMAN_REVIEW,9011436,阿里巴巴股权相关,0,[],[],0,0,True
hn_logistics_shein_007,"[""logistics"", ""generic_customer""]","[""9013055""]","[""9046625"", ""9047274""]","[""SHEIN/希音IPO"", ""跨境贸易三大支柱""]",unchanged,MATCH,9016988,家居,0,[],[],0,0,True,MATCH,9016988,家居,0,[],[],0,0,True
hn_shein_not_space_008,"[""shein"", ""ipo"", ""negative_space""]","[""9046625""]","[""9062142"", ""9061851"", ""9019807""]","[""蓝箭航天IPO"", ""商业航天8大IPO"", ""卫星互联网""]",unchanged,MATCH,9046625,SHEIN/希音IPO,0,[],[],0,0,True,MATCH,9046625,SHEIN/希音IPO,0,[],[],0,0,True
hn_ai_glasses_009,"[""ai_glasses"", ""ar""]","[""9037499"", ""9030409"", ""9038540""]","[""9019349"", ""9012538""]","[""消费电子"", ""VR""]",unchanged,MATCH,9030409,AR眼镜,0,[],[],0,0,True,MATCH,9030409,AR眼镜,0,[],[],0,0,True
hn_ar_glasses_generic_010,"[""ar_glasses"", ""consumer_electronics""]","[""9030409"", ""9038540"", ""9037499""]","[""9019349"", ""9013055""]","[""消费电子"", ""物流""]",improved,MATCH,9019349,消费电子,0,"[""9019349""]","[""消费电子""]",0,0,False,MATCH,9048533,中美互降关税,0,[],[],0,0,True
