subject_key,subject_name,concept,semantic_type,strategy_type,quality,latest_stock_trade_date,latest_leaderboard_trade_date,leaderboard_count,recent_event_count,confusion_subject_keys,generic_anchor_ratio,anchor_count,alias_generic_count,negative_terms_count,confusion_overlap_score,stock_pool_size,recent_heat_score,false_positive_risk,priority_score,generic_terms
9035331,本源量子,本源量子,公司事件,event_driven,weak,2026-05-15,2026-04-24,13,0,"[""9026027"", ""9058922""]",0.75,1,0,0,0.2857,13,0.0122,0.6589,64.84,"[""合作"", ""参股"", ""公司""]"
9059060,乐聚IPO,乐聚IPO,公司事件,event_driven,weak,2026-05-15,2026-04-24,10,0,"[""9059201""]",0.6667,1,0,0,0.1667,10,0.0094,0.5917,60.74,"[""合作商"", ""参股""]"
9018216,石油,石油,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,56,0,"[""9064086"", ""9063449"", ""9061453"", ""9010317""]",0.6,2,0,0,0.125,56,0.0527,0.5513,59.39,"[""上游勘探"", ""上游采油"", ""上游钻井""]"
9062904,航空发动机集团,航空发动机集团,公司事件,event_driven,weak,2026-05-15,2026-04-24,26,0,[],0.6667,1,0,0,0.0,26,0.0245,0.55,58.61,"[""供应商"", ""参股""]"
9039983,云深处机器人,云深处机器人,公司事件,event_driven,weak,2026-05-15,2026-04-24,16,0,"[""9054992"", ""9036026"", ""9043287"", ""9056580"", ""9035538"", ""9026661""]",0.6,2,0,0,0.12,16,0.015,0.55,58.38,"[""合作"", ""参股"", ""公司""]"
9064241,金刚石散热,金刚石散热,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,6,0,[],0.6667,1,0,0,0.0,6,0.0056,0.55,58.14,"[""产品"", ""设备""]"
9062142,蓝箭航天IPO,蓝箭航天IPO,公司事件,event_driven,weak,2026-05-15,2026-04-24,21,1,"[""9044048"", ""9036191"", ""9056783""]",0.5,2,0,0,0.0714,21,0.0431,0.4929,55.65,"[""参股"", ""公司""]"
9014764,军工9大集团,军工9大集团,国防工业组织结构,industry_chain,strong,2026-05-15,2026-04-24,91,0,[],0.8571,1,0,0,0.0,91,0.0856,0.6357,55.28,"[""中国核工业集团有限公司"", ""中国航天科技集团有限公司"", ""中国航天科工集团有限公司"", ""中国航空工业集团有限公司"", ""中国航空发动机集团有限公司"", ""中国船舶集团有限公司""]"
9063773,字节Seedance,字节Seedance,技术合作与接入事件,event_driven,weak,2026-05-15,2026-04-24,19,0,"[""9039194""]",0.5,1,0,0,0.05,19,0.0179,0.4875,54.7,"[""AIDC广告代理合作接入""]"
9047021,保税仓,保税仓,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,13,0,"[""9046844""]",0.5,1,0,0,0.0556,13,0.0122,0.4889,54.64,"[""跨境电商物流仓储""]"
9011558,医疗信息化,医疗信息化,医疗供应链管理,industry_chain,weak,2026-05-15,2026-04-24,30,0,[],0.5,1,0,0,0.0,30,0.0282,0.475,54.21,"[""SPD医疗供应链""]"
9034539,特斯拉,特斯拉,供应链关系,industry_chain,weak,2026-05-15,2026-04-24,55,0,"[""9039054"", ""9023131"", ""9064078"", ""9021988"", ""9021735"", ""9062206"", ""9020715"", ""9014701""]",0.6667,1,0,2,0.0526,55,0.0517,0.4632,54.09,"[""皮卡供应商"", ""一级供应商""]"
9058703,Remy APP,Remy APP,公司事件,event_driven,weak,2026-05-15,2026-04-24,9,0,[],0.5,1,0,0,0.0,9,0.0085,0.475,53.71,"[""技术参股""]"
9026444,染料,染料,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,27,0,"[""9049096"", ""9048752"", ""9010317""]",0.3333,2,0,0,0.25,27,0.0254,0.4625,53.38,"[""产品""]"
9057205,哪吒汽车重组,哪吒汽车重组,公司事件,event_driven,weak,2026-05-15,2026-04-24,19,0,"[""9062416"", ""9036888""]",0.3333,2,0,0,0.25,19,0.0179,0.4625,53.2,"[""合作""]"
9058137,培育钻石,培育钻石,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,13,0,[],0.6667,1,0,3,0.0,13,0.0122,0.45,52.31,"[""设备"", ""产品""]"
9058918,稻米造血,稻米造血,公司事件,event_driven,weak,2026-05-15,2026-04-24,12,0,"[""9055255""]",0.3333,2,0,0,0.0625,12,0.0113,0.4156,50.22,"[""合作""]"
9058261,新凯来示波器,新凯来示波器,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,10,0,"[""9043683"", ""9019349"", ""9022763""]",0.3333,2,0,0,0.0625,10,0.0094,0.4156,50.17,"[""产品""]"
9044453,蚂蚁阿福,蚂蚁阿福,公司事件,event_driven,weak,2026-05-15,2026-04-24,10,0,[],0.3333,2,0,0,0.0,10,0.0094,0.4,49.24,"[""阿里参股""]"
9010818,国企改革,国企改革,政策主体,policy_driven,weak,2026-05-15,2026-04-24,154,0,"[""9022312"", ""9036888"", ""9020774"", ""9033890"", ""9055826"", ""9015002"", ""9014701""]",0.3333,4,1,0,0.1,154,0.1448,0.315,47.52,"[""国企改革"", ""国资国企改革""]"
9049096,重组胶原蛋白,重组胶原蛋白,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,11,0,"[""9026444"", ""9048752""]",0.3333,2,0,6,0.25,11,0.0103,0.3625,47.01,"[""产品""]"
