trade_date,stock_id,subject_key,subject_name,final_cycle_state,final_mainline_alive,state_transition_type,cycle_score_mainline_strength,cycle_score_repair,cycle_score_divergence,cycle_score_fade_watch,cycle_score_fade_confirmed,cycle_alive_pass
2026-04-15,600572,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,600267,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,000919,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,600664,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,603538,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,000153,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,300436,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,600867,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,688712,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,002437,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,300485,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,688796,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,603858,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,300086,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,300723,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,600351,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,002370,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,000989,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,603222,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,300267,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,002317,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,600855,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,300026,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,688520,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,600750,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,000597,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,603998,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,300158,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,688189,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,002044,1,,divergence,False,,64.32,74.436,97.97,9.19,5.544,False
2026-04-15,001965,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,600428,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,600012,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,601107,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,603162,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,000415,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,600751,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,600350,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,601156,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,000498,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,688015,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,000429,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,600020,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,601000,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,000039,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,603565,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,601018,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,600377,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,600269,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,001872,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,600548,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,601298,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,601111,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,603680,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,600033,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,301048,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,601021,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,600717,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,601598,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,601326,129,,start,False,,26.7,33.79,59.175,24.525,15.26,False
2026-04-15,301232,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,605222,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,603063,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,002498,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,301040,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,000533,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,301557,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,603985,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,002112,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,603097,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,002300,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,601026,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
